,Depth,Sv
0,0.0,0.0
1,10.0,14.213724000000001
2,20.0,28.427448000000002
3,30.0,42.641172000000005
4,40.0,56.854896000000004
5,50.0,71.06862000000001
6,60.0,85.28234400000001
7,70.0,99.49606800000001
8,80.0,113.70979200000001
9,90.0,127.923516
10,100.0,142.13724000000002
11,110.0,156.35096400000003
12,120.0,170.56468800000005
13,130.0,184.77841200000006
14,140.0,198.99213600000007
15,150.0,213.2058600000001
16,160.0,227.4195840000001
17,170.0,241.6333080000001
18,180.0,255.84703200000013
19,190.0,270.06075600000014
20,200.0,284.27448000000015
21,210.0,298.48820400000017
22,220.0,312.7019280000002
23,230.0,326.9156520000002
24,240.0,341.1293760000002
25,250.0,355.3431000000002
26,260.0,369.55682400000023
27,270.0,383.77054800000025
28,280.0,397.98427200000026
29,290.0,412.1979960000003
30,300.0,426.4117200000003
31,310.0,440.6254440000003
32,320.0,454.8391680000003
33,330.0,469.0528920000003
34,340.0,483.26661600000034
35,350.0,497.48034000000035
36,360.0,511.69406400000037
37,360.0,511.69406400000037
38,387.26783434343434,551.1032544894576
39,414.5356686868687,591.1638883248426
40,441.80350303030303,631.8759655061551
41,469.0713373737374,673.2394860333952
42,496.3391717171717,715.254449906563
43,523.6070060606061,757.9208571256584
44,550.8748404040405,801.2387076906814
45,578.1426747474748,845.2080016016318
46,605.410509090909,889.82873885851
47,632.6783434343434,935.1009194613158
48,659.9461777777778,981.0245434100493
49,687.2140121212121,1027.5996107047104
50,714.4818464646464,1074.8261213452988
51,741.7496808080808,1122.7040753318151
52,769.0175151515152,1171.2334726642591
53,796.2853494949495,1220.4143133426305
54,823.5531838383838,1270.2465973669296
55,850.8210181818182,1320.7303247371563
56,878.0888525252526,1371.8654954533106
57,905.3566868686869,1423.6521095153923
58,932.6245212121212,1476.0901669234017
59,959.8923555555556,1529.179667677339
60,987.16018989899,1582.920611777204
61,1014.4280242424243,1637.3129992229963
62,1041.6958585858586,1692.356830014716
63,1068.9636929292928,1748.0521041523634
64,1096.2315272727274,1804.398821635939
65,1123.4993616161617,1861.3969824654416
66,1150.767195959596,1919.046586640872
67,1178.0350303030305,1977.3476341622304
68,1205.3028646464647,2036.3001250295158
69,1232.570698989899,2095.904059242729
70,1259.8385333333333,2156.15943680187
