,Depth,Sv
0,0.0,0.0
1,10.0,14.213724000000001
2,20.0,28.427448000000002
3,30.0,42.641172000000005
4,40.0,56.854896000000004
5,50.0,71.06862000000001
6,60.0,85.28234400000001
7,70.0,99.49606800000001
8,80.0,113.70979200000001
9,90.0,127.923516
10,100.0,142.13724000000002
11,110.0,156.35096400000003
12,120.0,170.56468800000005
13,130.0,184.77841200000006
14,140.0,198.99213600000007
15,150.0,213.2058600000001
16,160.0,227.4195840000001
17,170.0,241.6333080000001
18,180.0,255.84703200000013
19,190.0,270.06075600000014
20,200.0,284.27448000000015
21,210.0,298.48820400000017
22,220.0,312.7019280000002
23,230.0,326.9156520000002
24,240.0,341.1293760000002
25,250.0,355.3431000000002
26,260.0,369.55682400000023
27,270.0,383.77054800000025
28,280.0,397.98427200000026
29,290.0,412.1979960000003
30,300.0,426.4117200000003
31,310.0,440.6254440000003
32,320.0,454.8391680000003
33,330.0,469.0528920000003
34,340.0,483.26661600000034
35,350.0,497.48034000000035
36,360.0,511.69406400000037
37,360.0,511.69406400000037
38,387.77755353535355,551.8272904528942
39,415.5551070707071,592.6114954240079
40,443.3326606060606,634.0466789133415
41,471.11021414141413,676.132840920895
42,498.8877676767677,718.8699814466684
43,526.6653212121212,762.2581004906615
44,554.4428747474748,806.2971980528747
45,582.2204282828283,850.9872741333077
46,609.9979818181819,896.3283287319606
47,637.7755353535354,942.3203618488333
48,665.5530888888889,988.9633734839258
49,693.3306424242425,1036.2573636372385
50,721.1081959595961,1084.202332308771
51,748.8857494949496,1132.7982794985232
52,776.663303030303,1182.0452052064952
53,804.4408565656565,1231.9431094326872
54,832.2184101010101,1282.4919921770993
55,859.9959636363637,1333.6918534397312
56,887.7735171717172,1385.5426932205828
57,915.5510707070707,1438.0445115196544
58,943.3286242424243,1491.197308336946
59,971.1061777777778,1545.0010836724573
60,998.8837313131313,1599.4558375261884
61,1026.661284848485,1654.5615698981396
62,1054.4388383838384,1710.3182807883104
63,1082.2163919191921,1766.7259701967016
64,1109.9939454545456,1823.7846381233123
65,1137.771498989899,1881.4942845681428
66,1165.5490525252526,1939.8549095311932
67,1193.326606060606,1998.8665130124634
68,1221.1041595959596,2058.529095011954
69,1248.881713131313,2118.8426555296637
70,1276.6592666666666,2179.807194565594
