,Depth,Sv
0,0.0,0.0
1,10.0,14.213724000000001
2,20.0,28.427448000000002
3,30.0,42.641172000000005
4,40.0,56.854896000000004
5,50.0,71.06862000000001
6,60.0,85.28234400000001
7,70.0,99.49606800000001
8,80.0,113.70979200000001
9,90.0,127.923516
10,100.0,142.13724000000002
11,110.0,156.35096400000003
12,120.0,170.56468800000005
13,130.0,184.77841200000006
14,140.0,198.99213600000007
15,150.0,213.2058600000001
16,160.0,227.4195840000001
17,170.0,241.6333080000001
18,180.0,255.84703200000013
19,190.0,270.06075600000014
20,200.0,284.27448000000015
21,210.0,298.48820400000017
22,220.0,312.7019280000002
23,230.0,326.9156520000002
24,240.0,341.1293760000002
25,250.0,355.3431000000002
26,260.0,369.55682400000023
27,270.0,383.77054800000025
28,280.0,397.98427200000026
29,290.0,412.1979960000003
30,300.0,426.4117200000003
31,310.0,440.6254440000003
32,320.0,454.8391680000003
33,330.0,469.0528920000003
34,340.0,483.26661600000034
35,350.0,497.48034000000035
36,360.0,511.69406400000037
37,360.0,511.69406400000037
38,387.9135151515151,551.9303912428677
39,415.8270303030303,592.7275457052571
40,443.74054545454544,634.0855273871682
41,471.6540606060606,676.0043362886014
42,499.56757575757575,718.4839724095564
43,527.4810909090909,761.5244357500333
44,555.3946060606061,805.1257263100322
45,583.3081212121213,849.287844089553
46,611.2216363636364,894.0107890885957
47,639.1351515151515,939.2945613071602
48,667.0486666666667,985.1391607452467
49,694.9621818181818,1031.544587402855
50,722.875696969697,1078.5108412799855
51,750.7892121212121,1126.0379223766379
52,778.7027272727273,1174.125830692812
53,806.6162424242425,1222.7745662285083
54,834.5297575757576,1271.9841289837261
55,862.4432727272728,1321.7545189584662
56,890.3567878787879,1372.085736152728
57,918.270303030303,1422.9777805665117
58,946.1838181818182,1474.4306521998174
59,974.0973333333334,1526.444351052645
60,1002.0108484848486,1579.0188771249946
61,1029.9243636363635,1632.1542304168656
62,1057.8378787878787,1685.850410928259
63,1085.751393939394,1740.1074186591743
64,1113.664909090909,1794.9252536096114
65,1141.5784242424243,1850.3039157795706
66,1169.4919393939394,1906.2434051690516
67,1197.4054545454546,1962.7437217780546
68,1225.3189696969698,2019.8048656065796
69,1253.232484848485,2077.4268366546266
70,1281.1460000000002,2135.6096349221953
