	Well Da	ta Export					
Proje	ct	:  NORNE					
Carto	graphic System	:  ST_ED50_UT	M32N_CM9NE				
Depth	Mode	:  MD					
Depth	Unit	:  Internatio	nal meters				
Dista	nce Unit	:  meters					
Forma	t File	:  /prog/ow/2	003_12/dat/wlx	/owxPosLog.wlx			
Date		:  Thu Dec 27	14:41:32 2007				
							
							
							
6608/10-B-1 AHT2	457125.59	7322128.21					
PLG3	Measr. Depth	TVD Depth	TVDSS Depth	X-Offset	Y-Offset	X-true	Y-true
PLG4	2378.3701	1953.5707	-1929.5707	-447.1301	-735.9628	456678.4599	7321392.247
PLG4	2407.25	1977.8026	-1953.8026	-458.7686	-746.509	456666.8214	7321381.701
PLG4	2436.3201	2002.674	-1978.674	-471.109	-755.0822	456654.481	7321373.128
PLG4	2464.98	2027.808	-2003.808	-483.4921	-761.0729	456642.0979	7321367.137
PLG4	2495.24	2055.0068	-2031.0068	-496.0672	-765.2356	456629.5228	7321362.974
PLG4	2522.01	2079.5461	-2055.5461	-506.5605	-767.2633	456619.0295	7321360.947
PLG4	2552.2	2107.4333	-2083.4333	-518.1026	-767.7134	456607.4874	7321360.497
PLG4	2580.6201	2133.6687	-2109.6687	-528.928	-766.3168	456596.662	7321361.893
PLG4	2611.29	2161.8757	-2137.8757	-540.5096	-763.0499	456585.0804	7321365.16
PLG4	2640.8999	2189.011	-2165.011	-551.4338	-758.4767	456574.1562	7321369.733
PLG4	2669.1201	2214.8472	-2190.8472	-561.3092	-752.8914	456564.2808	7321375.319
PLG4	2698.01	2241.134	-2217.134	-570.641	-745.4067	456554.949	7321382.803
PLG4	2726.98	2267.1638	-2243.1638	-578.8161	-735.6944	456546.7739	7321392.516
PLG4	2784.1201	2317.5032	-2293.5032	-590.5204	-711.4499	456535.0696	7321416.76
PLG4	2812.8201	2342.1338	-2318.1338	-594.928	-697.3956	456530.662	7321430.814
PLG4	2841.3301	2366.1506	-2342.1506	-599.1949	-682.64	456526.3951	7321445.57
PLG4	2870.3101	2389.7446	-2365.7446	-603.5223	-666.3895	456522.0677	7321461.821
PLG4	2898.26	2411.4253	-2387.4253	-607.4948	-649.2113	456518.0952	7321478.999
PLG4	2927.73	2433.2544	-2409.2544	-610.9713	-629.7275	456514.6187	7321498.483
PLG4	2957.3	2454.0635	-2430.0635	-613.7816	-608.9141	456511.8084	7321519.296
PLG4	2986.55	2473.3982	-2449.3982	-616.2194	-587.1077	456509.3706	7321541.102
PLG4	3015.29	2491.1831	-2467.1831	-618.1178	-564.6171	456507.4722	7321563.593
PLG4	3052.0801	2512.3154	-2488.3154	-618.9816	-534.5268	456506.6084	7321593.683
PLG4	3076.95	2525.6055	-2501.6055	-618.4744	-513.5148	456507.1156	7321614.695
PLG4	3101.72	2538.0596	-2514.0596	-617.2048	-492.1436	456508.3852	7321636.066
PLG4	3117	2545.3254	-2521.3254	-616.1663	-478.7422	456509.4237	7321649.468
PLG4	3223.53	2590.1497	-2566.1497	-609.0231	-382.4149	456516.5669	7321745.795
PLG4	3244.1799	2597.7043	-2573.7043	-607.7647	-363.2382	456517.8253	7321764.972
PLG4	3273.1799	2607.623	-2583.623	-605.6984	-336.0674	456519.8916	7321792.143
PLG4	3301.8601	2616.667	-2592.667	-602.3569	-309.063	456523.2331	7321819.147
PLG4	3328.96	2624.7573	-2600.7573	-597.5212	-283.6591	456528.0688	7321844.551
PLG4	3357.6299	2633.0117	-2609.0117	-590.5399	-257.1129	456535.0501	7321871.097
PLG4	3387.02	2641.0918	-2617.0918	-581.2497	-230.434	456544.3403	7321897.776
PLG4	3415.8701	2648.5374	-2624.5374	-570.6299	-204.6656	456554.9601	7321923.544
PLG4	3444.54	2655.2349	-2631.2349	-559.492	-179.1119	456566.098	7321949.098
PLG4	3478	2662.5737	-2638.5737	-546.3495	-149.2291	456579.2405	7321978.981
